losses/action_loss,losses/dist_entropy,losses/kl_loss,losses/value_loss,test/mean_episode_reward,test/median_episode_reward,train/mean_episode_reward,train/median_episode_reward,train/nupdates,train/total_num_steps
-2.2211946391810972e-05,2.234648952881495,0.009671139065176249,0.1996477631231149,5.7,5.0,5.1,4.5,186,3063808
-0.0003341728394540648,2.2962709267934165,0.008851171335360656,0.17716134650011858,3.8,4.5,4.1,2.0,187,3080192
3.781697402397791e-05,2.3582532902558646,0.00783478431791688,0.1605878391613563,3.0,3.0,5.6,5.0,188,3096576
-0.00017640865795935193,2.3826570014158883,0.009417446718240777,0.160356684277455,6.4,6.5,3.7,3.5,189,3112960
0.0010689098853617907,2.383779078722,0.008817120290283734,0.17135204374790192,3.5,3.0,4.1,3.0,190,3129344
0.0009511513247465094,2.3405146400133767,0.008123506151605397,0.2091326347241799,3.6,2.0,2.7,3.5,191,3145728
-0.0016892137937247753,2.237251361211141,0.008717373750793437,0.21118172444403172,3.9,3.0,4.7,3.0,192,3162112
0.0009732823139832666,2.2382045686244965,0.011048676329664886,0.22223545797169209,3.0,2.0,4.9,5.0,193,3178496
0.0004756929314074417,2.219129055738449,0.008577266164744893,0.24289490468800068,3.8,4.0,3.7,3.0,194,3194880
0.0008021236474936207,2.1790863374869027,0.007916691208568713,0.2552366542319457,4.1,3.0,6.3,6.0,195,3211264
0.0012360518934049953,2.1431937714417777,0.010368911588254074,0.2850569679091374,4.5,4.5,5.5,6.5,196,3227648
7.250018340225021e-05,2.072755604982376,0.007709262426942587,0.31852937489748,3.3,3.0,2.9,1.0,197,3244032
0.00015412503853440285,2.0300227254629135,0.00933346435582886,0.3719946580628554,5.8,5.5,5.4,5.0,198,3260416
0.004696304405418535,2.032979115843773,0.011040753840158382,0.46659568945566815,5.3,6.5,4.5,4.5,199,3276800
0.0005530844694779565,1.959088072180748,0.01379557908512652,0.4793843664228916,3.1,2.0,5.6,5.0,200,3293184
0.0019024046681200464,1.9704500138759613,0.01440260629169643,0.5237799150248369,4.2,4.0,6.2,3.5,201,3309568
-0.0002558434401483585,2.0514309803644815,0.011337153885203103,0.2924453131854534,5.4,4.5,5.9,6.0,202,3325952
-0.00021874995824570456,2.08778307835261,0.009180851668740312,0.2429566296438376,5.9,6.5,5.0,4.5,203,3342336
0.000580797748019298,2.114634027083715,0.00987500483946254,0.2720353851715724,3.1,3.0,5.3,5.0,204,3358720
0.0017477948664842795,2.1113855640093484,0.013995943785024187,0.26130285176138085,3.7,3.0,5.3,5.5,205,3375104
-4.9284426495432854e-05,2.027931640545527,0.008485188339060793,0.34211182966828346,4.0,3.5,4.8,3.5,206,3391488
0.0021395362952413657,2.020680939157804,0.010529259666024396,0.33574791873494786,4.1,3.0,3.6,4.5,207,3407872
0.0013950628247888137,1.9675357739130657,0.011319929423431555,0.3901303919653098,3.8,5.0,3.7,2.0,208,3424256
0.0007995491032488644,1.9385711948076885,0.011163190860922137,0.46174678951501846,4.1,3.5,3.2,2.0,209,3440640
0.0005367775350653877,1.9178619980812073,0.014245607502137622,0.5153687745332718,4.7,4.0,4.4,3.5,210,3457024
0.0012501447442142914,1.9303570588429768,0.01276921876706183,0.5298959289987882,4.9,4.0,3.6,2.0,211,3473408
-6.482942262664437e-05,2.0197696735461554,0.010509656431774298,0.28337151433030766,6.2,6.0,6.0,4.5,212,3489792
0.0009844661884320278,1.9808536370595295,0.01326564660606285,0.351975920299689,5.0,4.0,5.1,2.5,213,3506176
0.0030914771875056126,2.02042193710804,0.011882885378630212,0.34300736089547473,3.2,2.5,5.5,3.5,214,3522560
0.0028559677690888443,1.987278441588084,0.009471963761219135,0.3667437670131524,5.3,5.0,7.5,6.0,215,3538944
-0.00020396946153293052,1.9296012272437413,0.008805277893164506,0.38533276443680126,4.4,4.5,4.9,4.5,216,3555328
-7.741366668293873e-06,1.879352534810702,0.008685422809018442,0.4786360611518224,3.9,3.5,6.8,6.0,217,3571712
0.0017762723728083074,1.8619161546230316,0.013694754607665042,0.5876783529917399,2.7,3.0,3.0,2.0,218,3588096
0.00200893115834333,1.8398178666830063,0.012796164645502964,0.6191019577284654,4.7,3.0,5.8,5.0,219,3604480
-0.00028228505592172343,1.9062734047571819,0.013633031747303903,0.3306945475439231,4.3,3.0,4.6,4.0,220,3620864
0.0010006052519505222,1.9187373767296474,0.00963732871847848,0.35206183542807895,7.1,5.0,6.4,5.0,221,3637248
0.0012143022031523287,1.8991505205631256,0.010817855674152574,0.4441054066022237,4.6,1.5,4.5,4.0,222,3653632
0.00018469207376862565,1.9338610867659252,0.0108263991229857,0.3896018626789252,7.0,4.0,5.9,6.5,223,3670016
0.0001473030618702372,2.018031189839045,0.009515684854704887,0.2679991132269303,6.0,2.5,6.3,6.0,224,3686400
0.00026760707260109484,2.0529887278874717,0.010831853995720545,0.23280348628759384,3.3,4.0,5.0,5.0,225,3702784
0.0006580015954871973,2.104824701944987,0.00997597431220735,0.20605937764048576,4.4,2.0,5.6,6.5,226,3719168
0.0034010402159765363,2.113677660624186,0.009941522575293979,0.23146394329766432,4.5,3.0,4.6,5.0,227,3735552
0.0010866924615887303,2.1062443554401398,0.011441972999212643,0.24020667374134064,4.0,3.5,4.5,5.5,228,3751936
